Hour,Longitude,Latitude,Elevation,Cumulative Time (hours)
15,-120.8623,38.480324,306.25,15.002953611111112
30,-119.821761,39.053501,1505.5,30.000853333333332
45,-117.500934,39.255986,1875.25,45.01524916666666
60,-115.110232,39.429207,2220.25,60.01233361111112
75,-112.991277,38.338696,1530.0,75.00383833333333
90,-112.155756,37.693347,2318.75,90.01694027777778
105,-110.754699,38.372225,1329.25,105.00072916666667
120,-109.400721,37.745027,2195.5,120.00218444444444
135,-107.88542,37.878356,2918.0,135.00365166666666
150,-106.762594,38.516872,2418.0,150.0064463888889
165,-105.347429,38.142027,2660.5,165.02580388888887
180,-102.045064,38.46855,1190.0,180.00179722222222
195,-98.355052,38.514746,537.75,195.00065694444444
210,-95.198602,38.825975,282.75,210.00207611111114
