Aspect/Role, RPA CoE Managers, DevOps Engineers, RPA Developers
UiPath Studio, 2, 3, 3-5
Jenkins, 1, 3-5, 1
SonarQube, 1, 3-5, 1
UiPath Orchestrator, 3-4, 3-5, 3
System Administration, 2-4, 2-4, 2-4
Infrastructure Management, -, -, -
Version Control, -, -, -
Scripting, -, -, -
Monitoring & Logging, -, -, -
